"","Temperature..K.","Luminosity.L.Lo.","Radius.R.Ro.","Absolute.magnitude.Mv.","Star.type","Star.color","Spectral.Class"
"1",3068,0.0024,0.17,16.12,"0","Red","M"
"2",3042,5e-04,0.1542,16.6,"0","Red","M"
"3",2600,3e-04,0.102,18.7,"0","Red","M"
"4",2800,2e-04,0.16,16.65,"0","Red","M"
"5",1939,0.000138,0.103,20.06,"0","Red","M"
"6",2840,0.00065,0.11,16.98,"0","Red","M"
"7",2637,0.00073,0.127,17.22,"0","Red","M"
"8",2600,4e-04,0.096,17.4,"0","Red","M"
"9",2650,0.00069,0.11,17.45,"0","Red","M"
"10",2700,0.00018,0.13,16.05,"0","Red","M"
"11",3600,0.0029,0.51,10.69,"1","Red","M"
"12",3129,0.0122,0.3761,11.79,"1","Red","M"
"13",3134,4e-04,0.196,13.21,"1","Red","M"
"14",3628,0.0055,0.393,10.48,"1","Red","M"
"15",2650,6e-04,0.14,11.782,"1","Red","M"
"16",3340,0.0038,0.24,13.07,"1","Red","M"
"17",2799,0.0018,0.16,14.79,"1","Red","M"
"18",3692,0.00367,0.47,10.8,"1","Red","M"
"19",3192,0.00362,0.1967,13.53,"1","Red","M"
"20",3441,0.039,0.351,11.18,"1","Red","M"
"21",25000,0.056,0.0084,10.58,"2","Blue-white","B"
"22",7740,0.00049,0.01234,14.02,"2","White","A"
"23",7220,0.00017,0.011,14.23,"2","White","F"
"24",8500,5e-04,0.01,14.5,"2","White","A"
"25",16500,0.013,0.014,11.89,"2","Blue-white","B"
"26",12990,8.5e-05,0.00984,12.23,"2","Yellowish White","F"
"27",8570,0.00081,0.0097,14.2,"2","Blue-white","A"
"28",7700,0.00011,0.0128,14.47,"2","Yellowish White","F"
"29",11790,0.00015,0.011,12.59,"2","Yellowish White","F"
"30",7230,8e-05,0.013,14.08,"2","Pale yellow orange","F"
"31",39000,204000,10.6,-4.7,"3","Blue","O"
"32",30000,28840,6.3,-4.2,"3","Blue-white","B"
"33",15276,1136,7.2,-1.97,"3","Blue-white","B"
"34",9700,74,2.89,0.16,"3","Whitish","B"
"35",5800,0.81,0.9,5.05,"3","yellow-white","F"
"36",8052,8.7,1.8,2.42,"3","Whitish","A"
"37",6757,1.43,1.12,2.41,"3","yellow-white","F"
"38",6380,1.35,0.98,2.93,"3","yellow-white","F"
"39",5936,1.357,1.106,4.46,"3","yellow-white","F"
"40",5587,0.819,0.99,5.03,"3","yellow-white","F"
"41",3826,2e+05,19,-6.93,"4","Red","M"
"42",3365,340000,23,-6.2,"4","Red","M"
"43",3270,150000,88,-6.02,"4","Red","M"
"44",3200,195000,17,-7.22,"4","Red","M"
"45",3008,280000,25,-6,"4","Red","M"
"46",3600,320000,29,-6.6,"4","Red","M"
"47",3575,123000,45,-6.78,"4","Red","M"
"48",3574,2e+05,89,-5.24,"4","Red","M"
"49",3625,184000,84,-6.74,"4","Red","M"
"50",33750,220000,26,-6.1,"4","Blue","B"
"51",3490,270000,1520,-9.4,"5","Red","M"
"52",3750,283000,1260,-7.63,"5","Red","M"
"53",3834,272000,1183,-9.2,"5","Red","M"
"54",3749,550000,1648,-8.05,"5","Orange","M"
"55",3650,310000,1324,-7.79,"5","Red","M"
"56",3450,263000,1349,-11.75,"5","Red","M"
"57",3660,363000,1673,-11.92,"5","Red","M"
"58",3450,174000,1284,-11.28,"5","Red","M"
"59",3752,209000,955,-11.24,"5","Red","M"
"60",3535,195000,1546,-11.36,"5","Red","M"
"61",3341,0.0056,0.057,16.23,"0","Red","M"
"62",3432,0.00067,0.19,16.94,"0","Red","M"
"63",2983,0.00024,0.094,16.09,"0","Red","M"
"64",2835,0.00034,0.0918,16.96,"0","Red","M"
"65",2935,0.00014,0.116,18.89,"0","Red","M"
"66",3295,0.00098,0.132,17.13,"0","Red","M"
"67",2945,0.00032,0.093,18.34,"0","Red","M"
"68",2817,0.00098,0.0911,16.45,"0","Red","M"
"69",2774,0.00036,0.118,17.39,"0","Red","M"
"70",2871,0.00072,0.12,19.43,"0","Red","M"
"71",3345,0.021,0.273,12.3,"1","Red","M"
"72",3607,0.022,0.38,10.12,"1","Red","M"
"73",3304,0.0085,0.18,13.2,"1","Red","M"
"74",3150,0.0088,0.35,11.94,"1","Red","M"
"75",3550,0.004,0.291,10.89,"1","Red","M"
"76",3180,0.001,0.35,11.76,"1","Red","M"
"77",2890,0.0034,0.24,13.46,"1","Red","M"
"78",3342,0.0015,0.307,11.87,"1","Red","M"
"79",2621,6e-04,0.098,12.81,"1","Red","M"
"80",3158,0.00135,0.161,13.98,"1","Red","M"
"81",7100,0.00029,0.012,14.09,"2","White-Yellow","F"
"82",10574,0.00014,0.0092,12.02,"2","White","F"
"83",8930,0.00056,0.0095,13.78,"2","White","A"
"84",17200,0.00098,0.015,12.45,"2","Blue-white","B"
"85",14100,0.00067,0.0089,12.17,"2","Blue-white","B"
"86",9675,0.00045,0.0109,13.98,"2","Blue-white","A"
"87",12010,0.00078,0.0092,12.13,"2","Blue-white","B"
"88",10980,0.00074,0.0087,11.19,"2","Blue-white","B"
"89",13720,0.00018,0.00892,12.97,"2","White","F"
"90",19860,0.0011,0.0131,11.34,"2","Blue","B"
"91",5300,0.59,0.91,5.49,"3","yellow-white","F"
"92",4526,0.153,0.865,6.506,"3","Yellowish","K"
"93",4077,0.085,0.795,6.228,"3","Yellowish","K"
"94",4980,0.357,1.13,4.78,"3","Yellowish","K"
"95",9030,45,2.63,1.45,"3","Blue-white","A"
"96",11250,672,6.98,-2.3,"3","Blue-white","A"
"97",5112,0.63,0.876,4.68,"3","Orange-Red","K"
"98",7720,7.92,1.34,2.44,"3","yellow-white","F"
"99",12098,689,7.01,0.02,"3","Blue-white","A"
"100",36108,198000,10.2,-4.4,"3","Blue","O"
"101",33300,240000,12,-6.5,"4","Blue","B"
"102",40000,813000,14,-6.23,"4","Blue","O"
"103",23000,127000,36,-5.76,"4","Blue","O"
"104",17120,235000,83,-6.89,"4","Blue","O"
"105",11096,112000,12,-5.91,"4","Blue","O"
"106",14245,231000,42,-6.12,"4","Blue","O"
"107",24630,363000,63,-5.83,"4","Blue","O"
"108",12893,184000,36,-6.34,"4","Blue","O"
"109",24345,142000,57,-6.24,"4","Blue","O"
"110",33421,352000,67,-5.79,"4","Blue","O"
"111",3459,1e+05,1289,-10.7,"5","Red","M"
"112",3605,126000,1124,-10.81,"5","Red","M"
"113",3615,2e+05,1635,-11.33,"5","Red","M"
"114",3399,117000,1486,-10.92,"5","Red","M"
"115",3610,132000,1522,-10.86,"5","Red","M"
"116",3553,145000,1324,-11.03,"5","Red","M"
"117",4015,282000,1534,-11.39,"5","Red","K"
"118",3625,74000,876,-10.25,"5","Red","M"
"119",6850,229000,1467,-10.07,"5","Red","G"
"120",3780,2e+05,1324,-10.7,"5","Red","M"
"121",3323,0.00043,0.0912,17.16,"0","Red","M"
"122",3531,0.00093,0.0976,19.94,"0","Red","M"
"123",3218,0.00054,0.11,20.02,"0","Red","M"
"124",3146,0.00015,0.0932,16.92,"0","Red","M"
"125",3511,0.00064,0.109,17.12,"0","Red","M"
"126",3225,0.00076,0.121,19.63,"0","Red","M"
"127",2935,0.00087,0.0932,16.88,"0","Red","M"
"128",2861,0.00019,0.0899,16.71,"0","Red","M"
"129",2856,0.000896,0.0782,19.56,"0","Red","M"
"130",2731,0.000437,0.0856,18.09,"0","Red","M"
"131",3095,0.00019,0.492,10.87,"1","Red","M"
"132",3607,0.00023,0.38,10.34,"1","Red","M"
"133",3100,0.008,0.31,11.17,"1","Red","M"
"134",2989,0.0087,0.34,13.12,"1","Red","M"
"135",3542,9e-04,0.62,14.23,"1","Red","M"
"136",3243,0.0023,0.73,14.75,"1","Red","M"
"137",3091,0.0081,0.24,11.43,"1","Red","M"
"138",3598,0.0011,0.56,14.26,"1","Red","M"
"139",3324,0.0034,0.34,12.23,"1","Red","M"
"140",3541,0.0013,0.256,14.33,"1","Red","M"
"141",13420,0.00059,0.00981,13.67,"2","Blue-white","B"
"142",21020,0.0015,0.0112,11.52,"2","Blue","B"
"143",18290,0.0013,0.00934,12.78,"2","Blue","B"
"144",14520,0.00082,0.00972,11.92,"2","Blue-white","B"
"145",11900,0.00067,0.00898,11.38,"2","Blue-white","B"
"146",8924,0.00028,0.00879,14.87,"2","Blue-white","A"
"147",12912,0.00071,0.00945,12.83,"2","Blue-white","B"
"148",14732,0.00011,0.00892,12.89,"2","White","F"
"149",7723,0.00014,0.00878,14.81,"2","White","A"
"150",12984,0.00088,0.00996,11.23,"2","Blue-white","B"
"151",29560,188000,6.02,-4.01,"3","Blue-white","B"
"152",8945,38,2.487,0.12,"3","Blue-white","A"
"153",14060,1092,5.745,-2.04,"3","Blue-white","A"
"154",16390,1278,5.68,-3.32,"3","Blue-white","B"
"155",25070,14500,5.92,-3.98,"3","Blue-white","B"
"156",28700,16790,6.4,-4.09,"3","Blue-white","B"
"157",26140,14520,5.49,-3.8,"3","Blue-white","B"
"158",20120,4720,6.78,-3.4,"3","Blue-white","B"
"159",13023,998,6.21,-1.38,"3","Blue-white","A"
"160",37800,202900,6.86,-4.56,"3","Blue","O"
"161",25390,223000,57,-5.92,"4","Blue","O"
"162",11567,251000,36,-6.245,"4","Blue","O"
"163",12675,452000,83,-5.62,"4","Blue","O"
"164",5752,245000,97,-6.63,"4","Blue","O"
"165",8927,239000,35,-7.34,"4","Blue","O"
"166",7282,131000,24,-7.22,"4","Blue","O"
"167",19923,152000,73,-5.69,"4","Blue","O"
"168",26373,198000,39,-5.83,"4","Blue","O"
"169",17383,342900,30,-6.09,"4","Blue","O"
"170",9373,424520,24,-5.99,"4","Blue","O"
"171",3570,320000,1480,-7.58,"5","Red","M"
"172",3500,138000,1420,-8.18,"5","Red","M"
"173",4287,630000,1315,-9.2,"5","Orange","K"
"174",26000,316000,1679,-9.1,"5","Blue","B"
"175",3600,240000,1190,-7.89,"5","Red","M"
"176",3614,145000,1553,-7.71,"5","Red","M"
"177",18000,2e+05,1045,-8.3,"5","Blue","O"
"178",11000,170000,1779,-9.9,"5","Blue-white","B"
"179",12100,120000,708.9,-7.84,"5","Blue-white","B"
"180",24490,248490,1134.5,-8.24,"5","Blue-white","B"
"181",2831,0.000231,0.0915,16.21,"0","Red","M"
"182",2914,0.000631,0.116,18.39,"0","Red","M"
"183",3419,0.000245,0.126,17.56,"0","Red","M"
"184",3218,0.000452,0.0987,17.34,"0","Red","M"
"185",3453,0.000621,0.0773,17.08,"0","Red","M"
"186",2889,0.000352,0.0973,16.93,"0","Red","M"
"187",2968,0.000461,0.119,17.45,"0","Red","M"
"188",3484,0.000551,0.0998,16.67,"0","Red","M"
"189",2778,0.000849,0.112,19.45,"0","Red","M"
"190",3523,0.000957,0.129,16.35,"0","Red","M"
"191",3462,0.0053,0.148,11.47,"1","Red","M"
"192",3257,0.0024,0.46,10.73,"1","Red","M"
"193",2994,0.0072,0.28,13.45,"1","Red","M"
"194",3212,0.0016,0.378,12.854,"1","Red","M"
"195",3523,0.0054,0.319,12.43,"1","Red","M"
"196",3598,0.0027,0.67,13.667,"1","Red","M"
"197",3142,0.00132,0.258,14.12,"1","Red","M"
"198",3496,0.00125,0.336,14.94,"1","Red","M"
"199",3324,0.0065,0.471,12.78,"1","Red","M"
"200",3463,0.0027,0.675,14.776,"1","Red","M"
"201",16790,0.0014,0.0121,12.87,"2","Blue","B"
"202",15680,0.00122,0.0114,11.92,"2","Blue","B"
"203",14982,0.00118,0.0113,12.23,"2","Blue","B"
"204",13340,0.00109,0.0116,12.9,"2","Blue","B"
"205",18340,0.00134,0.0124,11.22,"2","Blue","B"
"206",19920,0.00156,0.0142,11.34,"2","Blue","B"
"207",24020,0.00159,0.0127,10.55,"2","Blue","B"
"208",23092,0.00132,0.0104,10.18,"2","Blue","B"
"209",17920,0.00111,0.0106,11.66,"2","Blue","B"
"210",19360,0.00125,0.00998,11.62,"2","Blue","B"
"211",22350,12450,6.36,-3.67,"3","Blue-white","B"
"212",10012,552,5.856,0.013,"3","Blue-white","A"
"213",13089,788,5.992,-0.12,"3","Blue-white","A"
"214",22012,6748,6.64,-2.55,"3","Blue-white","B"
"215",34190,198200,6.39,-4.57,"3","Blue","O"
"216",32460,173800,6.237,-4.36,"3","Blue","O"
"217",9320,29,1.91,1.236,"3","Blue-white","A"
"218",19400,10920,6.03,-3.08,"3","Blue-white","B"
"219",17140,883,5.653,-2.64,"3","Blue-white","B"
"220",8250,9.25,1.93,-0.98,"3","yellow-white","F"
"221",23678,244290,35,-6.27,"4","Blue","O"
"222",12749,332520,76,-7.02,"4","Blue","O"
"223",9383,342940,98,-6.98,"4","Blue","O"
"224",23440,537430,81,-5.975,"4","Blue","O"
"225",16787,246730,62,-6.35,"4","Blue","O"
"226",18734,224780,46,-7.45,"4","Blue","O"
"227",9892,593900,80,-7.262,"4","Blue","O"
"228",10930,783930,25,-6.224,"4","Blue","O"
"229",23095,347820,86,-5.905,"4","Blue","O"
"230",21738,748890,92,-7.346,"4","Blue","O"
"231",24145,382993,1494,-8.84,"5","Blue-white","B"
"232",38234,272830,1356,-9.29,"5","Blue","O"
"233",32489,648430,1948.5,-10.84,"5","Blue","O"
"234",27739,849420,1252,-7.59,"5","Blue-white","B"
"235",21904,748490,1130,-7.67,"5","Blue-white","B"
"236",38940,374830,1356,-9.93,"5","Blue","O"
"237",30839,834042,1194,-10.63,"5","Blue","O"
"238",8829,537493,1423,-10.73,"5","White","A"
"239",9235,404940,1112,-11.23,"5","White","A"
"240",37882,294903,1783,-7.8,"5","Blue","O"
